TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/resnet50_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 400.003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 197
tdiff = 405, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 200
tdiff = 410, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 203
tdiff = 415.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69056, min_delta_t = 1555.2, val = 205
tdiff = 420.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72512, min_delta_t = 1555.2, val = 207
tdiff = 425, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67760, min_delta_t = 1555.2, val = 210
tdiff = 430, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 212
tdiff = 435, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 215
tdiff = 440.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 217
tdiff = 445, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 218
tdiff = 450, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67760, min_delta_t = 1555.2, val = 220
tdiff = 455.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 223
tdiff = 460.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66248, min_delta_t = 1555.2, val = 226
tdiff = 465.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 228
tdiff = 470.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68624, min_delta_t = 1555.2, val = 231
tdiff = 475, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 1555.2, val = 234
tdiff = 480, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 236
tdiff = 485, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66464, min_delta_t = 1555.2, val = 239
tdiff = 490.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73160, min_delta_t = 1555.2, val = 241
tdiff = 495, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 243
tdiff = 500, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73808, min_delta_t = 1555.2, val = 245
tdiff = 505.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 248
